Date,Open,High,Low,Close,Volume
30-Sep-15,0.45,0.47,0.45,0.47,25000
29-Sep-15,0.43,0.43,0.42,0.43,16500
23-Sep-15,0.51,0.52,0.51,0.52,24000
22-Sep-15,0.47,0.47,0.47,0.47,5000
18-Sep-15,0.50,0.50,0.50,0.50,2200
17-Sep-15,0.50,0.50,0.50,0.50,5500
15-Sep-15,0.53,0.53,0.52,0.52,2500
14-Sep-15,0.53,0.53,0.53,0.53,9000
11-Sep-15,0.51,0.51,0.51,0.51,25000
9-Sep-15,0.52,0.52,0.51,0.51,6500
4-Sep-15,0.47,0.47,0.47,0.47,14500
1-Sep-15,0.53,0.53,0.52,0.52,3180
31-Aug-15,0.49,0.49,0.49,0.49,2070
28-Aug-15,0.49,0.49,0.49,0.49,600
27-Aug-15,0.47,0.48,0.47,0.48,25500
26-Aug-15,0.49,0.49,0.46,0.46,25360
25-Aug-15,0.53,0.53,0.52,0.52,5750
24-Aug-15,0.54,0.54,0.54,0.54,6000
21-Aug-15,0.57,0.57,0.57,0.57,1000
19-Aug-15,0.60,0.60,0.59,0.59,5100
18-Aug-15,0.59,0.59,0.59,0.59,536
14-Aug-15,0.57,0.58,0.57,0.58,90000
13-Aug-15,0.61,0.62,0.61,0.61,157750
12-Aug-15,0.61,0.61,0.61,0.61,82500
11-Aug-15,0.60,0.63,0.59,0.63,175722
10-Aug-15,0.58,0.61,0.58,0.61,65821
7-Aug-15,0.56,0.58,0.55,0.56,213500
6-Aug-15,0.56,0.56,0.56,0.56,66500
5-Aug-15,0.57,0.57,0.56,0.56,37100
4-Aug-15,0.52,0.52,0.52,0.52,400
31-Jul-15,0.51,0.55,0.50,0.55,21000
30-Jul-15,0.51,0.53,0.51,0.53,5000
29-Jul-15,0.56,0.56,0.56,0.56,1000
28-Jul-15,0.53,0.53,0.53,0.53,3500
27-Jul-15,0.54,0.54,0.50,0.50,21100
24-Jul-15,0.70,0.70,0.52,0.52,169910
23-Jul-15,0.55,0.70,0.55,0.70,7500
22-Jul-15,0.54,0.70,0.54,0.70,4800
20-Jul-15,0.58,0.58,0.54,0.55,54250
16-Jul-15,0.64,0.64,0.62,0.64,15778
15-Jul-15,0.65,0.65,0.65,0.65,7500
13-Jul-15,0.68,0.68,0.65,0.67,104000
10-Jul-15,0.61,0.61,0.61,0.61,10000
9-Jul-15,0.59,0.60,0.57,0.60,17100
8-Jul-15,0.60,0.60,0.60,0.60,15000
7-Jul-15,0.58,0.58,0.58,0.58,204821
6-Jul-15,0.60,0.60,0.59,0.60,36380
2-Jul-15,0.64,0.64,0.63,0.63,3400
30-Jun-15,0.68,0.68,0.64,0.64,13473
29-Jun-15,0.66,0.70,0.66,0.69,6850
26-Jun-15,0.64,0.68,0.64,0.68,13900
25-Jun-15,0.64,0.64,0.64,0.64,9300
24-Jun-15,0.60,0.60,0.60,0.60,12364
23-Jun-15,0.61,0.62,0.60,0.62,9175
22-Jun-15,0.62,0.62,0.61,0.61,4150
19-Jun-15,0.61,0.61,0.59,0.61,17390
18-Jun-15,0.67,0.67,0.63,0.63,35130
17-Jun-15,0.62,0.62,0.61,0.62,5389
16-Jun-15,0.63,0.63,0.59,0.60,24100
15-Jun-15,0.60,0.62,0.57,0.62,143397
